,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Age,Employed_exp,Type_Occupation,Family_Members,label
31,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,other,2,1
32,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29.0,7.0,Laborers,1,1
33,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,1.0,Sales staff,3,1
34,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,36.0,10.0,other,2,1
35,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,56.0,4.0,Drivers,2,1
36,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,58.0,2.0,Drivers,2,1
37,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,other,2,1
38,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,Laborers,2,1
39,M,Y,Y,0,380250.0,Commercial associate,Higher education,Separated,House / apartment,44.0,2.0,other,1,1
40,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,44.0,20.0,other,4,1
41,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,1
42,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,1
43,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,other,1,1
44,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,6.0,Low-skill Laborers,3,1
45,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42.0,6.0,Low-skill Laborers,3,1
46,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,11.0,Accountants,3,1
47,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,Laborers,3,1
48,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,Laborers,3,1
49,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,20.0,Laborers,2,1
50,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,20.0,Laborers,2,1
51,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,32.0,0.0,High skill tech staff,1,1
52,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,2.0,Laborers,3,1
53,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,2.0,Laborers,3,1
54,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,IT staff,2,1
55,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,IT staff,2,1
56,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,Drivers,2,1
57,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,Drivers,2,1
58,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,Drivers,2,1
59,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.0,6.0,Managers,2,1
60,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,4.0,Drivers,3,1
61,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,4.0,Drivers,1,1
62,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,21.0,other,4,1
63,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,21.0,other,4,1
64,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,other,1,1
65,F,N,Y,0,166500.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,other,1,1
66,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,other,1,1
67,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,other,1,1
68,M,N,N,0,380250.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1.0,Sales staff,1,1
69,M,N,N,0,380250.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1.0,Sales staff,1,1
70,M,N,N,0,380250.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.0,1.0,Sales staff,1,1
71,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,57.0,0.0,other,2,1
72,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,64.0,0.0,other,2,1
73,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,other,2,1
74,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,25.0,4.0,Waiters/barmen staff,3,1
75,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,0.0,Laborers,2,1
76,M,N,Y,1,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,0.0,Laborers,2,1
77,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,42.0,11.0,High skill tech staff,2,1
78,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,4.0,other,2,1
79,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26.0,8.0,Laborers,3,1
80,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38.0,0.0,Sales staff,2,1
81,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,7.0,other,2,1
83,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,31.0,5.0,Accountants,2,1
84,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,31.0,5.0,Accountants,2,1
85,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,4.0,Core staff,2,1
86,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,14.0,High skill tech staff,4,1
87,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,other,3,1
88,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,other,3,1
89,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,Laborers,2,1
90,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,Laborers,2,1
91,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,Laborers,2,1
92,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.0,3.0,Managers,2,1
93,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,56.0,7.0,Accountants,2,1
94,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,35.0,6.0,other,3,1
95,F,N,Y,1,337500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,2.0,Security staff,2,1
96,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1.0,Laborers,2,1
97,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1.0,Laborers,2,1
98,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,1.0,Laborers,4,1
99,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,other,2,1
100,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,41.0,19.0,Core staff,3,1
101,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,2.0,Core staff,1,1
102,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,2.0,Core staff,1,1
103,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,46.0,6.0,Cleaning staff,1,1
104,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,21.0,Managers,2,1
105,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,45.0,2.0,Laborers,1,1
106,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63.0,0.0,other,1,1
107,M,Y,N,0,166500.0,Commercial associate,Higher education,Single / not married,Municipal apartment,32.0,2.0,High skill tech staff,1,1
108,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,19.0,Medicine staff,2,1
109,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.0,1.0,Security staff,1,1
110,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.0,0.0,other,1,1
111,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,other,2,1
112,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,other,3,1
113,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,other,3,1
114,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,Core staff,2,1
115,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,Core staff,2,1
116,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,Core staff,2,1
117,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,Core staff,2,1
118,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,9.0,Core staff,2,1
119,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,2.0,Managers,1,1
120,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,2.0,Managers,1,1
121,F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,20.0,Core staff,4,1
122,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,1
123,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,1
124,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,1
125,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,other,2,1
126,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,41.0,21.0,Core staff,2,1
127,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36.0,11.0,Laborers,3,1
128,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,61.0,0.0,other,1,1
129,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,other,1,1
130,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,other,2,1
131,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,other,2,1
132,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,other,2,1
133,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,59.0,0.0,other,2,1
134,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,other,2,1
135,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,3.0,Laborers,2,1
136,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,38.0,0.0,Laborers,2,1
137,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,other,2,1
138,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,High skill tech staff,2,1
139,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,High skill tech staff,2,1
140,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49.0,4.0,Cooking staff,1,1
141,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,36.0,4.0,Laborers,3,1
142,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27.0,5.0,Sales staff,4,1
144,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Security staff,2,1
145,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Security staff,2,1
146,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,Security staff,2,1
147,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,Core staff,1,1
148,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,Core staff,1,1
149,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,Laborers,2,1
150,F,N,Y,1,337500.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,2.0,Managers,2,1
151,F,N,Y,1,337500.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,2.0,Managers,2,1
152,M,Y,Y,2,166500.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,Managers,4,1
153,M,Y,Y,2,380250.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,Managers,4,1
154,M,Y,Y,2,380250.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,Managers,4,1
155,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,Drivers,3,1
156,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,Drivers,3,1
157,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,Core staff,1,1
158,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,Core staff,1,1
159,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,Core staff,1,1
160,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35.0,7.0,Laborers,3,1
161,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,59.0,0.0,other,2,1
162,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,other,2,1
163,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.0,1.0,Managers,1,1
164,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,35.0,3.0,Sales staff,3,1
165,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,Security staff,2,1
166,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,39.0,3.0,Managers,1,1
167,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,3.0,Security staff,2,1
168,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,3.0,Security staff,2,1
169,M,Y,N,1,380250.0,Working,Higher education,Married,House / apartment,27.0,1.0,Core staff,3,1
170,M,Y,N,1,380250.0,Working,Higher education,Married,House / apartment,27.0,1.0,Core staff,3,1
172,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,7.0,Managers,2,1
173,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.0,Medicine staff,2,1
174,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,34.0,4.0,Medicine staff,2,1
175,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,43.0,17.0,Cleaning staff,3,0
176,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,7.0,Laborers,2,0
177,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35.0,1.0,Sales staff,2,0
178,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56.0,21.0,Core staff,2,0
179,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,8.0,Private service staff,3,0
180,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,Sales staff,3,0
181,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,6.0,Laborers,2,0
182,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66.0,0.0,other,1,0
183,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,2.0,Core staff,2,0
184,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,other,2,0
185,F,Y,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,0.0,Cooking staff,3,0
186,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,other,2,0
187,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,29.0,5.0,other,3,0
189,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,59.0,5.0,Core staff,2,0
190,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,2.0,other,1,0
191,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40.0,2.0,other,1,0
192,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29.0,2.0,Sales staff,1,0
193,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,other,2,0
194,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,45.0,0.0,other,2,0
195,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,other,2,0
196,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,34.0,8.0,other,2,0
197,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,4.0,Core staff,2,0
198,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,other,2,0
199,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,40.0,9.0,Laborers,2,0
200,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.0,0.0,other,1,0
201,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,36.0,14.0,Core staff,2,0
202,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,48.0,8.0,other,2,0
203,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,1.0,Security staff,4,0
204,M,N,Y,0,380250.0,Commercial associate,Higher education,Separated,House / apartment,53.0,7.0,other,1,0
205,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,2.0,other,2,0
206,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,Laborers,2,0
207,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.0,3.0,other,2,0
208,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,35.0,4.0,other,4,0
209,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,20.0,Medicine staff,2,0
210,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,5.0,Laborers,3,0
211,F,Y,Y,1,337500.0,Commercial associate,Higher education,Single / not married,House / apartment,28.0,7.0,Managers,2,0
212,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,55.0,2.0,High skill tech staff,2,0
213,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,39.0,8.0,Private service staff,4,0
214,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36.0,7.0,Managers,4,0
215,F,N,Y,0,166500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,Cleaning staff,2,0
216,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,29.0,5.0,Core staff,2,0
217,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,1.0,Core staff,2,0
218,F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,55.0,0.0,other,2,0
219,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,52.0,4.0,Drivers,2,0
220,F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,60.0,0.0,other,1,0
221,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,38.0,1.0,other,4,0
222,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,32.0,6.0,other,1,0
223,F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,67.0,0.0,other,2,0
224,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,30.0,1.0,Drivers,2,0
225,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,39.0,19.0,Medicine staff,4,0
226,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,5.0,Sales staff,2,0
227,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,39.0,4.0,HR staff,1,0
228,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,34.0,10.0,Core staff,2,0
229,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,3.0,Accountants,2,0
230,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,44.0,7.0,Core staff,3,0
231,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27.0,7.0,Laborers,2,0
232,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,27.0,6.0,Laborers,1,0
233,F,Y,Y,1,337500.0,Commercial associate,Higher education,Single / not married,House / apartment,28.0,7.0,Managers,2,0
234,F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,51.0,4.0,Sales staff,1,0
235,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,7.0,other,2,0
236,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,27.0,6.0,other,3,0
237,F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,4.0,other,4,0
238,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,14.0,Drivers,2,0
239,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,52.0,6.0,Laborers,1,0
241,F,Y,Y,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,47.0,3.0,Cleaning staff,1,0
242,M,N,Y,1,380250.0,Working,Secondary / secondary special,Married,House / apartment,42.0,12.0,Laborers,3,0
243,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,40.0,4.0,Laborers,2,0
244,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,40.0,4.0,other,2,0
245,M,Y,N,0,270000.0,Pensioner,Higher education,Married,House / apartment,64.0,0.0,other,2,0
246,M,N,Y,1,292500.0,Working,Secondary / secondary special,Married,House / apartment,46.0,5.0,Laborers,3,0
247,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,57.0,21.0,Accountants,2,0
248,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,37.0,17.0,Medicine staff,4,0
249,F,N,N,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,46.0,0.0,other,2,0
250,F,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30.0,3.0,Secretaries,1,0
251,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,23.0,1.0,other,1,0
252,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.0,0.0,other,2,0
253,F,N,N,1,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,44.0,21.0,Core staff,2,0
254,M,N,Y,2,360000.0,State servant,Higher education,Married,House / apartment,44.0,15.0,Managers,4,0
255,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,57.0,5.0,Laborers,2,0
